usage_id,inv_id,user_id,usage_date,value_use,date,hour,day_of_week,anomaly_score,anomaly_label
USEYVIW39,INVVH6M8B,9,2025-09-01 04:53:56.594219+00:00,16.55,2025-09-01,4,0,1,Normal
USEVQ48Q1,INV9N3DKC,27,2025-07-19 13:20:10.778464+00:00,28.2,2025-07-19,13,5,1,Normal
USEMSNL22,INV5JAP95,17,2025-05-21 02:53:33.207155+00:00,24.55,2025-05-21,2,2,1,Normal
USE3M0TP9,INVY43WVL,46,2026-01-01 00:25:15.444424+00:00,6.75,2026-01-01,0,3,1,Normal
USET3V4IJ,INVWHIWF2,38,2025-09-02 11:37:39.521973+00:00,36.56,2025-09-02,11,1,1,Normal
USEF2ZLXY,INVQY7BMR,17,2025-04-26 06:07:24.777796+00:00,33.12,2025-04-26,6,5,1,Normal
USEHYJ0XW,INVGF7SVX,24,2025-06-03 05:53:26.061917+00:00,18.2,2025-06-03,5,1,1,Normal
USEA90CV0,INVDIS3F6,49,2025-05-28 00:57:14.749996+00:00,15.65,2025-05-28,0,2,1,Normal
USED7P03A,INVDSSFVE,1,2025-04-19 12:58:11.448223+00:00,7.99,2025-04-19,12,5,1,Normal
USEN3RT8C,INVO0GIUR,2,2025-07-17 08:23:29.168718+00:00,28.96,2025-07-17,8,3,1,Normal
USE8IRH73,INVFYJAZR,32,2025-04-29 07:13:35.474441+00:00,25.95,2025-04-29,7,1,1,Normal
USEV52LK4,INV70I83D,30,2025-04-26 23:04:12.750787+00:00,13.57,2025-04-26,23,5,1,Normal
USE640A47,INVN1KBRP,43,2025-06-07 23:52:08.001150+00:00,17.48,2025-06-07,23,5,1,Normal
USEFLIW5O,INVA1Q32X,23,2025-12-25 13:54:04.632101+00:00,43.27,2025-12-25,13,3,1,Normal
USE9BJL7I,INVQ00RF2,12,2025-02-15 12:52:10.781836+00:00,42.68,2025-02-15,12,5,1,Normal
USENYT7VV,INV7QSFX6,16,2025-06-14 19:47:59.689979+00:00,19.55,2025-06-14,19,5,1,Normal
USELFJAQO,INV2XLOVV,9,2025-01-11 11:07:03.346029+00:00,23.68,2025-01-11,11,5,1,Normal
USE7PVR96,INV9SMIDX,29,2025-02-19 19:49:53.273423+00:00,48.02,2025-02-19,19,2,1,Normal
USEUI2UBV,INV9PTSX1,5,2025-05-24 09:00:48.555666+00:00,19.13,2025-05-24,9,5,1,Normal
USEEISIV6,INV2TQOL5,24,2025-06-09 23:37:48.699336+00:00,46.5,2025-06-09,23,0,-1,Anomaly
USENX7U1X,INVL2GQ8H,33,2025-11-17 15:50:50.296562+00:00,20.29,2025-11-17,15,0,1,Normal
USE9GTQF1,INVRS9Y5U,7,2025-03-26 04:34:18.575289+00:00,6.95,2025-03-26,4,2,1,Normal
USEDWXWQD,INVLVX1IR,31,2025-09-24 13:17:01.756161+00:00,28.06,2025-09-24,13,2,1,Normal
USEXOLIC6,INVA4YK5E,49,2025-06-19 18:16:10.459972+00:00,3.76,2025-06-19,18,3,1,Normal
USEYVBJLK,INVYHXESK,32,2025-02-03 16:33:56.319970+00:00,49.87,2025-02-03,16,0,-1,Anomaly
USE4J6UDT,INVF2ZMLX,31,2025-04-14 03:10:34.718561+00:00,16.8,2025-04-14,3,0,1,Normal
USEN9BX0M,INVIRUYVR,35,2025-09-28 21:45:11.583343+00:00,48.46,2025-09-28,21,6,-1,Anomaly
USESH4FG8,INVQ00RF2,5,2025-11-19 14:05:41.692897+00:00,35.31,2025-11-19,14,2,1,Normal
USEMWL5DW,INVLVX1IR,3,2025-12-03 22:28:18.286879+00:00,23.92,2025-12-03,22,2,1,Normal
USE1MJPP2,INVQIZMVL,2,2025-09-29 21:49:02.868065+00:00,38.82,2025-09-29,21,0,1,Normal
USE4IM0Z4,INVLVX1IR,18,2025-03-27 22:54:19.497236+00:00,41.71,2025-03-27,22,3,1,Normal
USE3MGF74,INVY43WVL,39,2025-11-04 14:07:06.327838+00:00,19.59,2025-11-04,14,1,1,Normal
USEJ8ZKBS,INVYU2GUA,40,2025-07-24 08:22:13.202331+00:00,19.65,2025-07-24,8,3,1,Normal
USE9NVAMP,INV4FGIVU,6,2025-07-09 21:51:26.426774+00:00,16.96,2025-07-09,21,2,1,Normal
USEBF8DDT,INV2TQOL5,50,2025-03-08 08:33:28.559302+00:00,39.51,2025-03-08,8,5,1,Normal
USEAO5XLY,INVZ2JSBN,40,2025-11-24 09:34:06.690965+00:00,22.84,2025-11-24,9,0,1,Normal
USEEWPU58,INVQY7BMR,34,2025-06-15 12:39:57.505819+00:00,22.62,2025-06-15,12,6,1,Normal
USEXKHWKX,INVRJ3FN5,10,2025-01-26 07:57:46.732465+00:00,28.27,2025-01-26,7,6,1,Normal
USE841K77,INVQ00RF2,37,2025-07-22 08:25:14.495642+00:00,8.08,2025-07-22,8,1,1,Normal
USE7PHWVJ,INVVH6M8B,24,2025-12-20 02:50:04.313960+00:00,14.2,2025-12-20,2,5,1,Normal
USEM6SMSB,INV82AY12,7,2025-05-08 04:52:36.167115+00:00,23.64,2025-05-08,4,3,1,Normal
USEYX4M9N,INV82AY12,16,2025-07-12 15:50:20.026637+00:00,42.73,2025-07-12,15,5,1,Normal
USERJYK8L,INVNOGK29,21,2025-06-10 23:23:03.552959+00:00,25.26,2025-06-10,23,1,1,Normal
USEU00XTY,INVY43WVL,23,2025-08-04 21:43:32.160787+00:00,9.91,2025-08-04,21,0,1,Normal
USE185IQU,INVIRUYVR,41,2025-04-24 17:14:02.444672+00:00,19.24,2025-04-24,17,3,1,Normal
USEOTRMXY,INVD9VUJT,21,2025-03-06 11:59:26.963374+00:00,31.32,2025-03-06,11,3,1,Normal
USE5H1RLY,INVL3B3A2,20,2025-03-04 20:22:13.748955+00:00,29.4,2025-03-04,20,1,1,Normal
USE36P418,INVXV7KXQ,4,2025-05-28 18:12:51.988549+00:00,5.01,2025-05-28,18,2,1,Normal
USEKTI987,INVZ2JSBN,44,2025-07-14 08:06:37.399071+00:00,12.89,2025-07-14,8,0,1,Normal
USEOIW9SC,INVRJ3FN5,10,2025-07-07 12:04:59.517740+00:00,47.78,2025-07-07,12,0,1,Normal
USE2GQ4I0,INVR7D21L,42,2025-08-19 20:58:46.950789+00:00,30.28,2025-08-19,20,1,1,Normal
USEK0TN19,INVUOITCL,42,2025-08-18 08:30:21.298300+00:00,22.23,2025-08-18,8,0,1,Normal
USET0O1AP,INVL2GQ8H,43,2025-06-21 09:39:14.458428+00:00,26.15,2025-06-21,9,5,1,Normal
USE7TMDNO,INVJVR5WR,38,2025-09-16 01:05:51.756868+00:00,39.51,2025-09-16,1,1,1,Normal
USEPZR622,INV2E99TL,24,2025-09-09 19:06:46.760592+00:00,25.09,2025-09-09,19,1,1,Normal
USE0E2X3R,INV4CO8LA,11,2025-07-19 19:58:24.647689+00:00,1.97,2025-07-19,19,5,-1,Anomaly
USEUMNCDW,INVGE0G6W,39,2025-10-04 19:11:38.200533+00:00,46.17,2025-10-04,19,5,1,Normal
USE9U56BG,INVDSSFVE,7,2025-02-02 10:18:01.909229+00:00,43.26,2025-02-02,10,6,1,Normal
USEMFQ0EW,INVY43WVL,16,2025-01-13 20:03:24.989042+00:00,21.82,2025-01-13,20,0,1,Normal
USEAD2G2H,INV9N3DKC,32,2025-05-11 14:21:22.795310+00:00,31.29,2025-05-11,14,6,1,Normal
USEDIKBH0,INVBFEWOQ,3,2025-11-09 12:27:42.869486+00:00,2.77,2025-11-09,12,6,1,Normal
USE5S75OU,INVVH6M8B,49,2025-12-08 11:10:31.956038+00:00,9.16,2025-12-08,11,0,1,Normal
USEGBFBT7,INV6ONTCN,5,2025-05-06 09:42:29.230375+00:00,9.04,2025-05-06,9,1,1,Normal
USE08PM34,INVZQP4OZ,14,2025-03-13 18:08:25.103096+00:00,39.02,2025-03-13,18,3,1,Normal
USEODH4GW,INV2XLOVV,26,2025-03-16 11:10:04.080313+00:00,3.32,2025-03-16,11,6,1,Normal
USEHA1SE3,INVR7D21L,16,2025-09-13 00:34:40.925999+00:00,17.89,2025-09-13,0,5,-1,Anomaly
USEI18SEQ,INVCLRTHQ,35,2025-12-05 20:06:37.054259+00:00,41.88,2025-12-05,20,4,1,Normal
USENI3OS2,INVKQB5K6,15,2025-01-12 03:32:46.244982+00:00,13.74,2025-01-12,3,6,1,Normal
USELRG80D,INV4GN3XZ,25,2025-03-31 23:38:45.028443+00:00,30.08,2025-03-31,23,0,-1,Anomaly
USELGVEY4,INV9SMIDX,10,2025-02-13 02:17:23.031852+00:00,5.61,2025-02-13,2,3,1,Normal
USEREY2DC,INVDBMFLZ,41,2025-10-28 21:09:13.895236+00:00,30.78,2025-10-28,21,1,1,Normal
USESUF2KT,INVJVR5WR,40,2025-10-19 21:26:03.915717+00:00,21.28,2025-10-19,21,6,1,Normal
USEIOMYBX,INVFYJAZR,45,2025-05-02 04:47:39.444641+00:00,44.32,2025-05-02,4,4,1,Normal
USEAYM0QO,INV944IOW,47,2025-06-05 03:10:03.314083+00:00,3.56,2025-06-05,3,3,1,Normal
USEMR9TEL,INV1IV6G7,26,2025-02-26 09:37:03.676799+00:00,5.23,2025-02-26,9,2,1,Normal
USEQD60ZU,INV9PTSX1,37,2025-05-05 09:46:21.726591+00:00,33.6,2025-05-05,9,0,1,Normal
USE2OXEY8,INV9HNXQE,39,2025-12-09 17:15:53.027733+00:00,9.78,2025-12-09,17,1,1,Normal
USED7GO1E,INVRS9Y5U,40,2025-08-08 14:56:49.830702+00:00,17.69,2025-08-08,14,4,1,Normal
USE8DBG1J,INV4CO8LA,17,2025-09-04 04:05:02.694568+00:00,25.64,2025-09-04,4,3,1,Normal
USEV3GDFN,INVCLRTHQ,17,2025-03-30 23:35:12.532325+00:00,46.31,2025-03-30,23,6,-1,Anomaly
USEJL5S7T,INVR7Y45Q,16,2025-01-18 18:16:37.302362+00:00,32.08,2025-01-18,18,5,1,Normal
USENI7SIG,INV8V45A8,44,2025-12-21 18:16:44.300749+00:00,16.43,2025-12-21,18,6,1,Normal
USEKWT2DT,INV2XLOVV,31,2025-04-09 06:48:33.822749+00:00,46.82,2025-04-09,6,2,1,Normal
USE7SNVGN,INVNOGK29,23,2025-04-01 10:13:31.592380+00:00,12.56,2025-04-01,10,1,1,Normal
USEQ6VW33,INVESJVFD,3,2025-08-15 09:01:24.332264+00:00,44.04,2025-08-15,9,4,1,Normal
USEEBT4NF,INVIRUYVR,34,2025-10-22 01:28:33.680251+00:00,40.99,2025-10-22,1,2,1,Normal
USENECDJU,INVNVIDV4,2,2025-09-11 12:15:43.000022+00:00,4.27,2025-09-11,12,3,1,Normal
USE5YZVIR,INVDSSFVE,26,2025-04-04 13:22:05.948944+00:00,43.63,2025-04-04,13,4,1,Normal
USEP3PC8W,INVLTBPUZ,10,2025-01-24 01:36:37.416133+00:00,22.22,2025-01-24,1,4,1,Normal
USERVIC5B,INVZQP4OZ,5,2025-10-16 18:17:02.319133+00:00,1.61,2025-10-16,18,3,1,Normal
USEIXW6RM,INVIRUYVR,30,2025-11-09 11:14:39.367649+00:00,45.27,2025-11-09,11,6,1,Normal
USE1C7F7B,INVRJ3FN5,24,2025-08-07 07:21:12.578268+00:00,45.43,2025-08-07,7,3,1,Normal
USERHCRN3,INVVH6M8B,11,2025-12-24 11:45:44.563233+00:00,8.59,2025-12-24,11,2,1,Normal
USET1G77C,INVR7Y45Q,11,2025-12-29 20:35:52.778510+00:00,5.97,2025-12-29,20,0,-1,Anomaly
USEM0YA1U,INVLTBPUZ,23,2025-02-16 12:32:53.180352+00:00,11.64,2025-02-16,12,6,1,Normal
USE0HC2J2,INVE6CPN1,4,2025-07-30 21:14:44.593267+00:00,8.77,2025-07-30,21,2,1,Normal
USE27GKFG,INV6ONTCN,10,2025-07-06 22:22:41.028226+00:00,42.11,2025-07-06,22,6,1,Normal
USEQQO8AU,INVCKSXEM,33,2025-05-25 14:51:30.590979+00:00,13.5,2025-05-25,14,6,1,Normal
USE2UQZ2F,INVGTKKRW,28,2025-12-28 19:29:47.870137+00:00,34.86,2025-12-28,19,6,1,Normal
USEX3C5K4,INVXV7KXQ,25,2025-04-04 21:42:53.299497+00:00,12.12,2025-04-04,21,4,1,Normal
USE6A2JZJ,INV3IY9IZ,2,2025-05-24 07:48:40.992450+00:00,39.8,2025-05-24,7,5,1,Normal
USEVJVQVZ,INVDIS3F6,37,2025-10-01 07:51:52.461613+00:00,27.1,2025-10-01,7,2,1,Normal
USEPUTDEQ,INV0ZE2HG,31,2025-09-19 16:53:06.121049+00:00,49.95,2025-09-19,16,4,1,Normal
USEOWCXFM,INV1IV6G7,20,2025-07-16 13:33:34.093655+00:00,49.99,2025-07-16,13,2,1,Normal
USEVASIZD,INVD9VUJT,10,2025-11-24 08:06:12.138498+00:00,38.87,2025-11-24,8,0,1,Normal
USE3OO604,INVF2ZMLX,16,2025-11-16 10:44:12.926848+00:00,15.01,2025-11-16,10,6,1,Normal
USE4PNRMF,INVQ4OQBZ,46,2025-04-04 15:33:04.609895+00:00,26.68,2025-04-04,15,4,1,Normal
USE0RM7UJ,INV9SMIDX,18,2025-07-26 08:51:50.827039+00:00,39.75,2025-07-26,8,5,1,Normal
USECH19C3,INV944IOW,49,2025-05-24 23:25:33.943867+00:00,36.68,2025-05-24,23,5,1,Normal
USERU47YM,INV4OMABV,47,2025-05-27 20:43:43.795149+00:00,38.92,2025-05-27,20,1,1,Normal
USEZ95WH4,INVKQB5K6,14,2025-10-11 11:35:40.216835+00:00,23.6,2025-10-11,11,5,1,Normal
USEGLPR29,INV4CO8LA,30,2025-07-19 11:49:39.730679+00:00,3.64,2025-07-19,11,5,1,Normal
USEE5NAW2,INVMNZPCC,42,2025-02-12 20:19:00.238942+00:00,8.85,2025-02-12,20,2,1,Normal
USEBZPIFE,INV4FGIVU,45,2025-05-21 13:15:37.243801+00:00,17.98,2025-05-21,13,2,1,Normal
USENYE7XO,INVYU2GUA,6,2025-01-14 08:56:17.037109+00:00,48.54,2025-01-14,8,1,1,Normal
USEY5RZZP,INVYHXESK,22,2025-12-21 07:10:53.938948+00:00,18.33,2025-12-21,7,6,1,Normal
USETMHYJW,INVS5NOKL,36,2025-11-29 21:05:48.069163+00:00,22.7,2025-11-29,21,5,1,Normal
USEMOSUS9,INVCKSXEM,1,2025-05-05 01:37:34.752670+00:00,18.15,2025-05-05,1,0,-1,Anomaly
USETBRYDU,INVCLRTHQ,36,2025-09-25 21:09:40.702118+00:00,41.68,2025-09-25,21,3,1,Normal
USE5UCCNU,INVFYJAZR,7,2025-03-29 03:17:10.566907+00:00,17.27,2025-03-29,3,5,1,Normal
USED02NGZ,INV4OMABV,29,2025-05-02 14:43:49.161543+00:00,28.44,2025-05-02,14,4,1,Normal
USEKW8FKQ,INVVH6M8B,22,2025-01-09 09:07:05.681360+00:00,34.0,2025-01-09,9,3,1,Normal
USE4MO9VZ,INVWHIWF2,41,2025-02-13 03:52:36.230873+00:00,35.63,2025-02-13,3,3,1,Normal
USEWML2QL,INVJX45SU,47,2025-12-16 12:26:51.844571+00:00,37.16,2025-12-16,12,1,1,Normal
USEF0ESOE,INV4FGIVU,47,2025-04-22 07:54:00.288594+00:00,23.05,2025-04-22,7,1,1,Normal
USEUYIWU3,INVVH6M8B,42,2025-01-23 06:39:10.947758+00:00,36.54,2025-01-23,6,3,1,Normal
USE2YH27A,INVCRM9FG,22,2025-01-29 18:55:46.057175+00:00,45.75,2025-01-29,18,2,1,Normal
USEG2IRSY,INVNH64TL,30,2025-06-24 20:19:30.294143+00:00,12.47,2025-06-24,20,1,1,Normal
USENSLYQS,INVGTKKRW,34,2025-02-25 19:54:10.922049+00:00,29.52,2025-02-25,19,1,1,Normal
USEDRWE3E,INV4R8VM8,41,2025-12-21 14:34:35.081286+00:00,31.33,2025-12-21,14,6,1,Normal
USEHBD8C6,INVPT5IWA,14,2025-03-03 13:29:02.758591+00:00,41.96,2025-03-03,13,0,1,Normal
USEM15B9A,INVLTBPUZ,48,2025-10-24 21:54:28.891977+00:00,17.95,2025-10-24,21,4,1,Normal
USENA7L61,INVRJ3FN5,29,2025-02-12 14:36:58.915171+00:00,7.37,2025-02-12,14,2,1,Normal
USED4MZ6P,INV8V45A8,23,2025-10-25 19:24:44.094612+00:00,21.66,2025-10-25,19,5,1,Normal
USEZWTMFW,INVNVIDV4,1,2025-12-06 13:35:26.563808+00:00,32.06,2025-12-06,13,5,1,Normal
USEO68NLA,INV2E99TL,1,2025-08-02 17:02:05.612614+00:00,44.04,2025-08-02,17,5,1,Normal
USECHQ9VT,INV7QSFX6,12,2025-11-09 20:04:56.523988+00:00,33.99,2025-11-09,20,6,1,Normal
USEJJUI8H,INVDIS3F6,47,2025-09-09 18:53:48.604467+00:00,10.8,2025-09-09,18,1,1,Normal
USECQIWFW,INVL2GQ8H,27,2025-11-19 20:39:31.790771+00:00,17.86,2025-11-19,20,2,1,Normal
USEB4OWVH,INV2XLOVV,36,2025-01-11 04:51:26.914594+00:00,22.52,2025-01-11,4,5,1,Normal
USEP5I74E,INVXNTVXV,33,2025-09-29 13:19:35.630642+00:00,19.24,2025-09-29,13,0,1,Normal
USE9NI73Y,INV4OMABV,24,2025-07-17 21:34:17.118761+00:00,3.56,2025-07-17,21,3,1,Normal
USEVQSUUI,INVQIZMVL,34,2025-06-01 19:27:18.334790+00:00,37.97,2025-06-01,19,6,1,Normal
USE2U8G26,INVESJVFD,3,2025-04-03 16:24:24.948982+00:00,35.67,2025-04-03,16,3,1,Normal
USEL4YS4J,INVVMMAKJ,3,2025-01-13 19:07:28.666466+00:00,30.91,2025-01-13,19,0,1,Normal
USEAM3JO7,INVXV7KXQ,46,2025-11-27 07:17:27.963487+00:00,13.14,2025-11-27,7,3,1,Normal
USE7BESFI,INVRJ3FN5,22,2025-09-19 02:45:51.230920+00:00,29.19,2025-09-19,2,4,1,Normal
USEAJEBYC,INVNH64TL,30,2025-05-07 11:32:46.761492+00:00,35.69,2025-05-07,11,2,1,Normal
USEWBI9ZL,INVR7Y45Q,26,2025-07-31 18:36:37.262346+00:00,12.34,2025-07-31,18,3,1,Normal
